"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"43.227.120.0","","South Korea","Gwangju","Gwangju","Korea Cable TV Kwangju Broadcasting","38673","35.1496","126.9156"
"43.228.160.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"43.229.0.0","","South Korea","","","New Eagle Ltd","134979","37.5112","126.9741"
"43.229.112.0","","South Korea","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","37.5112","126.9741"
"43.230.0.0","","South Korea","","","SK Broadband Co Ltd","9318","37.5112","126.9741"
"43.230.76.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"43.230.80.0","","South Korea","","","LG DACOM Corporation","3786","37.5112","126.9741"
"43.230.216.0","","South Korea","","","SK Broadband Co Ltd","9756","37.5112","126.9741"
"43.240.236.0","","South Korea","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","37.5112","126.9741"
"43.241.104.0","","South Korea","","","CMB TAEGU BROADCAST SUSEONG","18168","37.5112","126.9741"
"43.241.108.0","","South Korea","","","CMB TAEGU BROADCASTING","18033","37.5112","126.9741"
"43.242.112.0","","South Korea","","","INet Technologies Co., Ltd.","9712","37.5112","126.9741"
"43.243.188.0","","South Korea","","","Sun Network Hong Kong Limited - HongKong Backbone","136800","37.5112","126.9741"
"43.243.216.0","","South Korea","","","","","37.5112","126.9741"
"43.246.152.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"43.246.180.0","","South Korea","","","EAGLE SKY CO LT","55303","37.5112","126.9741"
"43.247.104.0","","South Korea","","","","","37.5112","126.9741"
"43.247.192.0","","South Korea","Gyeonggi-do","Uijeongbu-si","LG HelloVision Corp.","17586","37.7396","127.0539"
"43.250.152.0","","South Korea","","","NAVER Cloud Corp.","23576","37.5112","126.9741"
"43.251.28.0","","South Korea","","","EAGLE SKY CO LT","55303","37.5112","126.9741"
"43.251.68.0","","South Korea","","","EAGLE SKY CO LT","55303","37.5112","126.9741"
"43.251.120.0","","South Korea","","","LG HelloVision Corp.","17598","37.5112","126.9741"
"43.254.244.0","","South Korea","","","abcle","38661","37.5112","126.9741"
"43.255.248.0","","South Korea","","","","","37.5112","126.9741"
"43.255.252.0","","South Korea","","","flexnetworks","38676","37.5112","126.9741"
"45.64.140.0","","South Korea","","","DOUZONEBIZON","55615","37.5112","126.9741"
"45.64.144.0","","South Korea","Daejeon","Daejeon","CMB Daejeon Broadcasting Co,.Ltd","38684","36.3419","127.3886"
"45.64.152.0","","South Korea","","","Korea Data Telecommunication Co., Ltd.","55592","37.5112","126.9741"
"45.64.172.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"45.112.88.0","","South Korea","","","SK Broadband Co Ltd","10164","37.5112","126.9741"
"45.112.96.0","","South Korea","","","SK Broadband Co Ltd","23578","37.5112","126.9741"
"45.112.112.0","","South Korea","","","","","37.5112","126.9741"
"45.112.152.0","","South Korea","","","SK Broadband Co Ltd","17854","37.5112","126.9741"
"45.112.160.0","","South Korea","","","SK Broadband Co Ltd","17573","37.5112","126.9741"
"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"150.183.0.0","","South Korea","","","KISTI","1237","37.5112","126.9741"
"150.197.0.0","","South Korea","","","Korea Aerospace Research Institute","9489","37.5112","126.9741"
"150.242.132.0","","South Korea","","","danal.co","55614","37.5112","126.9741"
"150.242.144.0","","South Korea","","","CMB Kwangju Broadcasting","10054","37.5112","126.9741"
"152.99.0.0","","South Korea","","","NATIONAL INFORMATION RESOURCES SERVICE","17841","37.5112","126.9741"
"152.149.0.0","www.123","South Korea","Gyeongsangnam-do","Geoje-si","DSME","55606","34.9","128.6667"
"152.149.32.0","","South Korea","","","DSME","55606","37.5112","126.9741"
"152.149.40.0","","South Korea","","","Daewoo Information Systems","4961","37.5112","126.9741"
"152.149.48.0","","South Korea","","","SK Broadband Co Ltd","9318","37.5112","126.9741"
"152.149.64.0","","South Korea","","","Daewoo Information Systems","4961","37.5112","126.9741"
"152.149.128.0","","South Korea","Seoul","Gangseo-gu","Daewoo Information Systems","4961","37.5662","126.8309"
"154.10.0.0","","South Korea","","","Cheiljedang.Co.Inc.","9578","37.5112","126.9741"
"155.230.0.0","","South Korea","Daegu","Buk-gu","Kyungpook National University","10052","35.9034","128.5923"
"156.147.0.0","","South Korea","","","LG CNS","4668","37.5112","126.9741"
"157.119.32.0","","South Korea","","","NHN KCP Corp.","17837","37.5112","126.9741"
"157.119.36.0","","South Korea","","","KINX","9286","37.5112","126.9741"
"157.197.0.0","","South Korea","","","","","37.5112","126.9741"
"158.44.0.0","","South Korea","","","SK Broadband Co Ltd","9318","37.5112","126.9741"
"158.46.160.0","","South Korea","","","M247 Ltd","9009","37.5112","126.9741"
"159.8.0.240","f0.00.089f.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"159.8.14.176","b0.0e.089f.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"159.8.14.224","e0.0e.089f.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"159.8.46.128","80.2e.089f.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"159.8.57.96","60.39.089f.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"159.8.66.240","f0.42.089f.ip4.static.sl-reverse.com","France","Seine-Saint-Denis","Clichy-sous-Bois","SOFTLAYER","36351","48.9114","2.5586"
"159.8.73.64","40.49.089f.ip4.static.sl-reverse.com","France","Seine-Saint-Denis","Clichy-sous-Bois","SOFTLAYER","36351","48.9114","2.5586"
"159.253.136.192","c0.88.fd9f.ip4.static.sl-reverse.com","Netherlands","North Holland","Amsterdam","SOFTLAYER","36351","52.3759","4.8975"
"160.202.160.0","","South Korea","","","Korea Telecom","4766","37.5112","126.9741"
"160.202.172.0","","South Korea","","","","","37.5112","126.9741"
"160.202.176.0","","South Korea","","","","","37.5112","126.9741"
"161.122.0.0","","South Korea","","","Korea Institute of Science and Technology","17866","37.5112","126.9741"
"161.202.30.160","a0.1e.caa1.ip4.static.sl-reverse.com","United States","","","SOFTLAYER","36351","37.751","-97.822"
"161.202.32.48","30.20.caa1.ip4.static.sl-reverse.com","United States","","","SOFTLAYER","36351","37.751","-97.822"
"161.202.33.208","d0.21.caa1.ip4.static.sl-reverse.com","United States","","","SOFTLAYER","36351","37.751","-97.822"
"161.202.40.176","b0.28.caa1.ip4.static.sl-reverse.com","United States","","","SOFTLAYER","36351","37.751","-97.822"
"161.202.40.184","b8.28.caa1.ip4.static.sl-reverse.com","United States","","","SOFTLAYER","36351","37.751","-97.822"
"161.202.67.160","a0.43.caa1.ip4.static.sl-reverse.com","Japan","Tokyo","Tokyo","SOFTLAYER","36351","35.6893","139.6899"
